X,Y
620,791
620,788
621,787
621,786
622,785
622,774
623,773
623,766
620,766
619,765
619,759
618,758
618,754
619,753
622,753
622,751
621,750
621,748
622,747
622,733
621,732
621,728
618,728
617,727
617,725
618,724
621,724
621,719
618,716
618,714
617,713
617,711
618,710
618,709
619,708
619,702
617,700
617,691
618,690
619,690
620,689
620,687
619,686
618,686
617,685
617,683
618,682
622,682
623,681
623,677
621,677
620,676
620,672
619,672
618,671
618,668
619,667
623,667
623,665
619,665
618,664
618,663
617,663
616,662
616,661
613,658
613,656
614,655
614,651
615,650
615,645
616,644
616,639
615,638
615,634
616,633
616,625
615,624
615,623
612,623
611,622
611,620
612,619
612,614
613,613
613,609
615,607
617,607
617,603
609,603
608,602
608,596
609,595
611,595
612,596
612,599
617,599
617,596
618,595
619,595
620,594
620,590
619,589
619,587
620,586
620,581
619,580
619,578
618,577
618,572
617,572
616,571
616,569
617,568
617,566
618,565
618,563
617,562
617,559
616,558
616,556
617,555
617,550
613,550
612,551
612,556
611,557
611,559
610,560
606,560
605,559
605,557
606,556
606,549
609,546
609,544
603,544
602,545
600,545
599,544
599,543
598,542
598,540
599,539
599,521
595,521
594,520
